"業務分類","業務種別","タスク順","マトリクス横軸","ヒートマップグループ","ヒートマップステップ","タスク名","業務内容詳細","1件あたり所要時間_分_仮案","1件あたり所要時間_分_ヒアリング後","人手の負担_仮案","人手の負担_ヒアリング後","月間件数","現状課題","確認したいこと","クライアント回答","As-Isフロー更新内容_業務分類","備考"
"支払・契約事務","支払処理","2","請求書照合","情報収集・照合","情報収集・照合","請求書・証憑照合","出納職員が請求書・契約書・稟議書・購入依頼書・納品書等を照合し、金額・品目・支払先の一致を確認する。","20（仮）","","高","","","照合すべき書類が多く、目視確認では見落としが起きやすい","質問: 請求書と稟議書・納品書の内容が一致しない場合の確認先（担当者・取引先）と対応手順を教えてください / 回答例: 出納職員が担当者または取引先に問い合わせ、修正請求書または稟議書の差替えで対応する","","",""
"支払・契約事務","支払処理","3","支払承認","承認・確認","承認・確認","支払情報承認","会計責任者が担当者作成の支払情報を請求書と再照合して承認する。承認記録を支払一覧表に記録する。","10（仮）","","中","","","要確認","質問: 支払承認が却下された場合の差戻し先と修正後の再承認手順を教えてください / 回答例: 起案担当者へ差戻し、修正後に会計責任者が再承認する","","",""
"支払・契約事務","支払処理","4","振込実行","システム入力","システム入力","振込実行","出納職員が承認済み支払情報をもとに総合振込またはインターネットバンキングで支払を実行する。振込控えを取得する。","15（仮）","","中","","","振込情報入力は手作業で、ミスが発生するリスクがある","質問: 振込は実際には承認の都度実行していますか。月内の支払日にまとめて実行していますか / 回答例: 月2回の支払日にまとめて実行している","","",""
"支払・契約事務","支払処理","5","支払伝票入力","システム入力","システム入力","支払伝票会計入力","出納職員が振込実行後、会計システムで支払に係る会計伝票を作成・入力する。科目・金額・補助科目を確認してから登録する。","10（仮）","","中","","","手入力による転記ミスが発生しやすい","","","",""
"支払・契約事務","契約事務","1","契約種類確認","情報収集・照合","情報収集・照合","契約方式確認","契約担当者が契約金額・内容に応じた手続き（入札契約か随意契約か）を経理規程・契約規程に照らして確認する。","15（仮）","","中","","","契約方式の判断が属人的になりやすい","質問: 随意契約を選択する基準（金額上限・理由）は規程に明文化されていますか / 回答例: 少額随意契約の上限金額を契約規程に定めており、上限超過は理事長の承認が必要 質問: 随意契約を選択できる基準（金額上限等）は規程に明文化されていますか。基準超過時の手続は何ですか / 回答例: 少額随意契約の上限金額を契約規程に定めており、上限超過は理事長の承認が必要","","",""
"支払・契約事務","契約事務","2","見積徴取・比較","情報収集・照合","情報収集・照合","見積徴取・比較検討","契約担当者が随意契約で原則3社以上の見積を徴取し、金額・条件を比較検討する。見積書を保管する。","60（仮）","","高","","","複数社見積の取得と比較検討が手作業で負担が大きい","質問: 見積が3社集まらない場合の取り扱い（理由書作成・少数社での続行等）を教えてください / 回答例: 市場に業者が少ない場合は理由書を作成し会計責任者の承認を得て2社で進める 質問: 契約先の決定は実際には誰が承認していますか。金額により承認者が変わる運用になっていますか / 回答例: 実際は金額にかかわらず理事長が最終決裁している 質問: 契約先決定の承認者は誰ですか。金額により承認者（会計責任者・理事長）が変わりますか / 回答例: 100万円未満は会計責任者、100万円以上は理事長が決裁する","","",""
"支払・契約事務","契約事務","3","契約書作成","計算・作成","文書・帳票作成","契約書作成","契約担当者が契約先決定後、標準契約書または業者指定様式で契約書を作成し双方が署名・捺印する。","60（仮）","","高","","","契約書の条件確認や修正に時間がかかる","質問: 契約書の作成・修正は内製ですか、外部専門家（弁護士等）に依頼しますか / 回答例: 標準様式は内製、特殊条件は顧問弁護士に確認してから作成している","","",""
"支払・契約事務","契約事務","4","履行確認","情報収集・照合","情報収集・照合","契約履行確認","契約担当者が納品書・納品物・業務報告書等で契約内容の履行を確認し、支払依頼書を起案する。","20（仮）","","中","","","要確認","質問: 納品物が契約内容と異なる場合の対応（是正依頼・受領拒否・検収保留等）の手順を教えてください / 回答例: 契約担当者が業者へ是正を依頼し、再納品まで検収を保留する","","",""
"現金管理","小口現金支払","1","小口支払申請受付","情報収集・照合","受付・申請","小口支払申請受付","出納職員が小口現金から支払う申請（口頭・申請書）や領収書を受け付け、支払内容・金額・申請者を確認する。","5（仮）","","低","","","申請方法が口頭や紙と混在しており記録が不統一","質問: 小口支払の申請方法（口頭・紙・メール等）と承認者を教えてください / 回答例: 申請書に記入して出納職員へ提出し、事前に上長口頭承認を得る 質問: 小口支払の申請は実際には事前申請ですか。立替払い後の事後精算が発生していますか / 回答例: 少額は事後精算が多く、領収書持参で精算している","","",""
"現金管理","小口現金支払","2","証憑確認","情報収集・照合","情報収集・照合","小口支払証憑確認","出納職員が受け付けた領収書の内容（支払内容・金額・日付・宛名）と承認有無を確認する。","5（仮）","","低","","","承認印のない領収書が提出されることがある","質問: 領収書の確認基準（宛名・承認印等）は規程に定まっていますか。基準外の場合の差戻し手順は何ですか / 回答例: 宛名あり・承認印ありを必須とし、不備があれば申請者へ差戻す 質問: 小口支払の証憑確認基準（宛名・承認印等の必須要件）と不備時の差戻し手順を教えてください / 回答例: 宛名あり・承認印ありを必須とし、不備があれば申請者へ差戻して再提出を求める 質問: 小口現金で支払えない金額・内容だった場合の振替手順（通常の支払処理へ回す等）を教えてください / 回答例: 1万円超は支払処理（振込）へ回している","","",""
"現金管理","小口現金支払","3","小口現金出納帳記入","記録・報告","記録・報告","出納帳記入・保管","出納職員が小口現金出納帳に支払内容（日付・金額・科目・摘要）を記入し証憑を綴り込んで保管する。","5（仮）","","低","","","手書き記入で転記ミスが発生しやすい","","","",""
"現金管理","現金残高確認","1","現金実査","情報収集・照合","情報収集・照合","現金実査・照合","出納職員（または会計責任者）が金庫内現金を数え、小口現金出納帳・会計帳簿の残高と照合する。","15（仮）","","中","","","実査結果の記録が口頭や手書きメモのみで証跡が残りにくい","質問: 現金実査の頻度（日次・週次等）と立会者の要件を教えてください / 回答例: 毎月末日に出納職員と会計責任者が立会いのうえ実査し、実査表に記録する 質問: 現金実査は実際には誰が行い、立会者はいますか。実査結果は実査表等の書面に記録していますか / 回答例: 毎月末日に出納職員と会計責任者が立会いのうえ実査し、実査表に記録する 質問: 差異が軽微な場合（数十円等）でも全件調査・報告していますか。金額による省略基準はありますか / 回答例: 金額にかかわらず全件調査し、報告書を作成している","","",""
"現金管理","現金残高確認","2","差異調査・報告","記録・報告","記録・報告","現金差異調査・報告","残高差異がある場合に出納職員が原因を調査し、会計責任者へ差異報告書を提出する。","30（仮）","","中","","","差異原因の追跡に時間がかかる","","","",""
"人件費支払","給与支払","1","勤怠情報収集","情報収集・照合","情報収集・照合","勤怠情報収集・整理","出納職員が各部門から日報・勤怠記録を収集し、給与計算の元データ（出勤日数・残業時間・有休等）を整える。","60（仮）","","高","","","紙の勤怠記録の集計と転記に時間がかかり、ミスが生じやすい","質問: 勤怠記録の管理方法（紙・勤怠システム等）と、給与計算システムへの入力方法を教えてください / 回答例: 紙の出勤簿を集計しExcelに手入力後、給与計算システムへ転記している 質問: 勤怠記録の管理方法（紙・勤怠システム等）と、給与計算システムへのデータ入力方法を教えてください / 回答例: 紙の出勤簿を集計してExcelに手入力後、給与計算システムへ転記している","","",""
"人件費支払","給与支払","2","給与計算入力","システム入力","システム入力","給与計算システム入力","出納職員が給与計算システムに勤怠・手当・控除情報を入力し、給与額を算出する。","60（仮）","","高","","","手当・控除情報の入力に誤りが生じやすく修正が多い","","","",""
"人件費支払","給与支払","3","給与計算データ承認","承認・確認","承認・確認","給与計算データ承認","会計責任者が給与計算データの内容（金額・人数・控除額等）を確認・承認する。","30（仮）","","中","","","確認の観点が属人的で見落としが起きやすい","質問: 給与計算承認時のチェック項目（前月比較・社会保険額確認等）は決まっていますか / 回答例: 前月比で増減5%以上の項目を重点確認し、計算明細書と突合している 質問: 給与計算承認時のチェック項目と差戻し時の修正手順を教えてください / 回答例: 前月比で増減5%以上の項目を重点確認し、差異がある場合は出納職員へ差戻して修正後に再承認する 質問: 給与計算承認時のチェック項目（前月比較・社会保険額確認等）と、差戻し時の修正手順を教えてください / 回答例: 前月比で増減5%以上の項目を重点確認し計算明細と突合。差異がある場合は出納職員へ差戻して修正後に再承認する","","",""
"人件費支払","給与支払","4","給与振込","システム入力","システム入力","給与振込実行","出納職員が承認済み給与データをもとにインターネットバンキングで給与振込を実行する。振込控えを取得する。","20（仮）","","中","","","要確認","質問: 給与振込の実行前に振込データを承認者が再確認するステップは実際にはありますか / 回答例: 承認済みデータをそのまま出納職員が送信しており、送信前の再確認はない","","",""
"人件費支払","給与支払","5","給与仕訳入力","システム入力","システム入力","給与仕訳会計入力","出納職員が給与支払時の会計仕訳（支払給与・社会保険料・源泉徴収等）を会計システムに入力する。","20（仮）","","中","","","科目の入力誤りが月次試算表に影響する","","","",""
"人件費支払","賞与支給","1","賞与支給額計算","計算・作成","計算・作成","賞与支給額計算","出納職員が決定済みの支給基準（支給月数等）に基づき賞与支給金額を計算する。","30（仮）","","中","","","要確認","質問: 賞与支給額の計算根拠（基準月数・個人評価反映等）はどのように決定されますか / 回答例: 理事長が支給月数を決定し、出納職員が給与計算システムで計算する 質問: 賞与支給額の計算根拠（基準月数・個人評価反映等）はどのように決定・伝達されますか / 回答例: 理事長が支給月数を決定し、出納職員が給与計算システムで計算する 質問: 賞与計算結果の確認・承認は誰がどのように行っていますか。差戻し時の再計算手順も教えてください / 回答例: 会計責任者が計算表を確認し、誤りがあれば出納職員が再計算して再提出する","","",""
"人件費支払","賞与支給","2","賞与データ入力","システム入力","システム入力","賞与データシステム入力","出納職員が計算した賞与支給額を給与計算システムへ入力し、支給データを確定する。","30（仮）","","中","","","要確認","質問: 賞与の振込は給与振込と同じ手順ですか。実際には支給前に別途承認を取っていますか / 回答例: 給与と同様にインターネットバンキングで振込し、支給前に理事長の承認を得ている 質問: 賞与の振込は実際には給与振込と同じ手順（インターネットバンキング等）ですか。支給前に理事長等の承認を別途取っていますか / 回答例: 給与と同様にインターネットバンキングで振込し、支給前に理事長の承認を得ている","","",""
"人件費支払","年末調整","1","申告書収集・確認","情報収集・照合","情報収集・照合","年末調整申告書収集・確認","出納職員が職員から扶養控除等申告書・保険料控除申告書等を収集し、記載内容と添付資料を確認する。","60（仮）","","高","","","収集書類の確認・不備対応に時間がかかる","質問: 年末調整申告書の収集方法と、不備があった場合の差戻し手順を教えてください / 回答例: 紙の申告書を職員が記入・提出し、不備は出納職員が本人へ直接差戻す 質問: 申告書の回収は実際には紙ですか。年末調整システム・電子申請を使っていますか / 回答例: 全員分を紙で回収し、出納職員がシステムへ手入力している 質問: 申告書に不備があった場合の差戻し方法（本人へ直接・部門経由等）を教えてください / 回答例: 紙の申告書を職員が記入・提出し、不備は出納職員が本人へ直接差戻す 質問: 申告書が期限までに提出されない職員への督促手順と、最終的に未提出の場合の取り扱いを教えてください / 回答例: 出納職員が個別に督促し、未提出者は扶養控除のみで計算して確定申告を案内する","","",""
"人件費支払","年末調整","2","年末調整計算","計算・作成","計算・作成","年末調整計算・精算","出納職員が給与計算システムで年末調整計算を行い、過不足額を精算する。","60（仮）","","高","","","要確認","","","",""
"人件費支払","社会保険・源泉","1","源泉徴収事務","計算・作成","計算・作成","源泉徴収税額計算・納付","出納職員が毎月の源泉徴収税額を確認し、所轄税務署へ電子申告または書面で納付する。","30（仮）","","中","","","特別徴収税額の変更通知への対応が手間","質問: 源泉所得税の納付は毎月納付ですか納期特例ですか。納付期限の管理は実際には誰が行っていますか / 回答例: 納期特例で年2回納付し、出納職員が期限を管理している 質問: 源泉所得税の納付は実際には毎月納付ですか、納期特例（年2回）ですか。期限管理は誰が行っていますか / 回答例: 納期特例で年2回納付し、出納職員が期限を管理している 質問: 源泉所得税の納付期限の管理方法と、期限を過ぎそうな場合・過ぎた場合の対応を教えてください / 回答例: 出納職員がカレンダーで管理し、遅延時は会計責任者へ報告のうえ至急納付する","","",""
"人件費支払","社会保険・源泉","2","社会保険届出作成","計算・作成","文書・帳票作成","社会保険届出書作成","出納職員が算定基礎届・賞与支払届・入退職届等を作成する。給与計算システムのデータを参照して作成する。","60（仮）","","高","","","届出書類の記載ミスが是正指示につながることがある","質問: 社会保険届出書の作成は給与計算システムから自動出力できますか。手入力している部分はありますか / 回答例: 算定基礎届は給与計算システムから出力。住所や氏名は手入力している 質問: 届出書の記載ミスや提出後の是正指示があった場合の訂正手順を教えてください / 回答例: 訂正届を作成し、出納職員が窓口または電子申請で再提出する 質問: 届出書の作成は実際には給与計算システムから自動出力できていますか。手入力している項目はどれですか / 回答例: 算定基礎届は給与計算システムから出力。住所や氏名は手入力している","","",""
"人件費支払","社会保険・源泉","3","届出提出","記録・報告","記録・報告","社会保険届出提出","出納職員が作成した届出書類を社会保険事務所・ハローワーク等へ電子申請または郵送で提出する。提出控えを保管する。","30（仮）","","中","","","電子申請システムへの操作が複雑で時間がかかる","","","",""
"資産・負債管理","債権債務管理","1","残高内訳調査","情報収集・照合","情報収集・照合","債権債務残高内訳調査","出納職員が毎月末日の未収金・未払金等の残高内訳を会計システムから抽出し調査する。","30（仮）","","中","","","未収金の長期滞留が見落とされやすい","質問: 残高内訳調査の結果はどのような形式で会計責任者に報告していますか / 回答例: Excelの残高内訳表にまとめて月次報告時に提出している 質問: 長期滞留と判断する基準（経過月数等）と、滞留時に残高確認へ進む判断基準を教えてください / 回答例: 3か月以上未回収の未収金は取引先へ残高確認書を送付する 質問: 残高内訳調査は実際には毎月末に行っていますか。決算期のみ詳細に調査する運用になっていませんか / 回答例: 毎月は金額確認のみで、詳細な内訳調査は四半期ごとに行っている","","",""
"資産・負債管理","債権債務管理","2","取引先残高確認","情報収集・照合","情報収集・照合","取引先残高照合","出納職員が必要に応じて取引先との残高確認書を送付・回収し、差異の有無を調査する。","60（仮）","","高","","","取引先からの返信が遅く差異確認に時間がかかる","","","",""
"資産・負債管理","債権債務管理","3","差異報告・措置","記録・報告","記録・報告","残高差異報告・対応","会計責任者が残高差異や不明残高について理事長へ報告し、必要な措置（回収・修正・貸倒処理等）を行う。","30（仮）","","中","","","要確認","質問: 不明残高が発生した場合の対応フロー（誰が何を確認し、どのような措置を行うか）を教えてください / 回答例: 会計責任者が原因を調査し、理事長承認のうえで貸倒引当金計上または督促を実施する 質問: 不明残高・回収不能債権の措置（貸倒処理等）は誰の承認で実行しますか / 回答例: 会計責任者が原因を調査し、理事長承認のうえで貸倒引当金計上または督促を実施する","","",""
"資産・負債管理","実地棚卸","1","棚卸表整備・配布","計算・作成","文書・帳票作成","棚卸表整備・配布","出納職員が棚卸方法を各部門に周知し、棚卸表を担当職員に配布する。","30（仮）","","低","","","棚卸表の様式が標準化されていない場合がある","","","",""
"資産・負債管理","実地棚卸","2","実地棚卸実施","情報収集・照合","情報収集・照合","実地棚卸実施","担当職員が棚卸表に品名・品番・数量を記入する。帳簿にない棚卸資産も報告する。","120（仮）","","高","","","棚卸期間中の業務負担が大きく、抜け漏れが発生しやすい","質問: 実地棚卸は実際には誰が実施していますか。担当職員のみで役職者の立会いなしで行うことはありますか / 回答例: 各部門の担当職員が実施し、出納職員が抜き取りで立会う 質問: 実地棚卸は実際には誰が実施していますか。担当職員のみで役職者の立会いなしに行うことはありますか / 回答例: 各部門の担当職員が実施し、出納職員が抜き取りで立会う 質問: 帳簿にない棚卸資産が見つかった場合の登録・評価の手順を教えてください / 回答例: 取得経緯を調査し、評価額を見積もって会計責任者承認のうえ帳簿へ計上する","","",""
